timestamp,datetime,price_window,current_price,prediction,confidence,threshold_met,prediction_time,trade_executed,trade_id,trade_type,trade_time
1746263963,2025-05-03 14:49:23,"[96313.67, 96313.67, 96313.67, 96313.67, 96313.67]",96313.67,UP,0.5957809527880967,False,0.30100369453430176,,,,
1746263979,2025-05-03 14:49:38,"[96313.67, 96313.67, 96313.67, 96313.67, 96313.67]",96313.67,UP,0.5957809527880967,False,0.5714268684387207,,,,
1746263993,2025-05-03 14:49:53,"[96313.67, 96313.67, 96313.67, 96313.67, 96328.49]",96328.49,UP,0.5957809527880967,False,0.32567310333251953,,,,
1746264008,2025-05-03 14:50:08,"[96313.67, 96313.67, 96313.67, 96328.49, 96328.48]",96328.48,UP,0.5957809527880967,False,0.31008100509643555,,,,
1746264024,2025-05-03 14:50:23,"[96313.67, 96313.67, 96328.49, 96328.48, 96328.49]",96328.49,UP,0.5957809527880967,False,0.3656630516052246,,,,
1746264039,2025-05-03 14:50:38,"[96313.67, 96328.49, 96328.48, 96328.49, 96333.13]",96333.13,UP,0.5957809527880967,False,0.3654787540435791,,,,
1746264054,2025-05-03 14:50:53,"[96328.49, 96328.48, 96328.49, 96333.13, 96333.12]",96333.12,UP,0.5957809527880967,False,0.44635748863220215,,,,
1746264069,2025-05-03 14:51:08,"[96328.48, 96328.49, 96333.13, 96333.12, 96320.1]",96320.1,UP,0.5957809527880967,False,0.3220193386077881,,,,
1746264084,2025-05-03 14:51:23,"[96328.49, 96333.13, 96333.12, 96320.1, 96320.09]",96320.09,UP,0.5957809527880967,False,0.404132604598999,,,,
1746264099,2025-05-03 14:51:38,"[96333.13, 96333.12, 96320.1, 96320.09, 96320.1]",96320.1,UP,0.5957809527880967,False,0.32321882247924805,,,,
1746264114,2025-05-03 14:51:53,"[96333.12, 96320.1, 96320.09, 96320.1, 96320.09]",96320.09,UP,0.5957809527880967,False,0.37326812744140625,,,,
1746264129,2025-05-03 14:52:08,"[96320.1, 96320.09, 96320.1, 96320.09, 96320.1]",96320.1,UP,0.5957809527880967,False,0.31731486320495605,,,,
1746264144,2025-05-03 14:52:23,"[96320.09, 96320.1, 96320.09, 96320.1, 96320.1]",96320.1,UP,0.5957809527880967,False,0.3369159698486328,,,,
1746264159,2025-05-03 14:52:38,"[96320.1, 96320.09, 96320.1, 96320.1, 96320.11]",96320.11,UP,0.5957809527880967,False,0.3996102809906006,,,,
1746264174,2025-05-03 14:52:53,"[96320.09, 96320.1, 96320.1, 96320.11, 96320.11]",96320.11,UP,0.5957809527880967,False,0.31316637992858887,,,,
1746264189,2025-05-03 14:53:08,"[96320.1, 96320.1, 96320.11, 96320.11, 96333.33]",96333.33,UP,0.5957809527880967,False,0.4856255054473877,,,,
1746264203,2025-05-03 14:53:23,"[96320.1, 96320.11, 96320.11, 96333.33, 96333.34]",96333.34,UP,0.5957809527880967,False,0.2814295291900635,,,,
