timestamp,datetime,price_window,current_price,model_type,rf_prediction,rf_confidence,xgb_prediction,xgb_confidence,used_model,prediction,confidence,threshold_met,prediction_time,trade_executed,trade_id,trade_type,trade_time
1746265662,2025-05-03 15:17:41,"[96327.26, 96327.25, 96327.26, 96327.25, 96327.25]",96327.25,ensemble,UP,0.56,UP,0.8269079,XGBoost,UP,0.8269078731536865,True,0.3552670478820801,,,,
1746265667,2025-05-03 15:17:46,"[96327.25, 96327.26, 96327.25, 96327.25, 96327.26]",96327.26,ensemble,UP,0.56,UP,0.8707341,XGBoost,UP,0.8707340955734253,True,0.35533761978149414,,,,
1746265672,2025-05-03 15:17:51,"[96327.26, 96327.25, 96327.25, 96327.26, 96327.26]",96327.26,ensemble,UP,0.56,UP,0.9108306,XGBoost,UP,0.9108306169509888,True,0.35260558128356934,,,,
1746265677,2025-05-03 15:17:56,"[96327.25, 96327.25, 96327.26, 96327.26, 96336.0]",96336.0,ensemble,UP,0.56,UP,0.8562469,XGBoost,UP,0.8562468886375427,True,0.3634204864501953,,,,
1746265682,2025-05-03 15:18:01,"[96327.25, 96327.26, 96327.26, 96336.0, 96336.0]",96336.0,ensemble,UP,0.56,UP,0.8707341,XGBoost,UP,0.8707340955734253,True,0.4259805679321289,True,822c1e44-f347-4fc7-a258-d05fd03cc0a5,BUY,1.0081770420074463
1746265687,2025-05-03 15:18:06,"[96327.26, 96327.26, 96336.0, 96336.0, 96336.0]",96336.0,ensemble,UP,0.56,UP,0.9108306,XGBoost,UP,0.9108306169509888,True,0.521172046661377,,,,
1746265692,2025-05-03 15:18:11,"[96327.26, 96336.0, 96336.0, 96336.0, 96336.0]",96336.0,ensemble,UP,0.56,UP,0.910969,XGBoost,UP,0.9109690189361572,True,0.40027451515197754,,,,
1746265697,2025-05-03 15:18:16,"[96336.0, 96336.0, 96336.0, 96336.0, 96340.87]",96340.87,ensemble,UP,0.56,UP,0.8562469,XGBoost,UP,0.8562468886375427,True,0.3583943843841553,,,,
1746265702,2025-05-03 15:18:21,"[96336.0, 96336.0, 96336.0, 96340.87, 96341.05]",96341.05,ensemble,UP,0.56,UP,0.8707341,XGBoost,UP,0.8707340955734253,True,0.38260459899902344,,,,
1746265707,2025-05-03 15:18:26,"[96336.0, 96336.0, 96340.87, 96341.05, 96344.36]",96344.36,ensemble,UP,0.57,UP,0.86323917,XGBoost,UP,0.8632391691207886,True,0.3486020565032959,,,,
1746265712,2025-05-03 15:18:31,"[96336.0, 96340.87, 96341.05, 96344.36, 96357.77]",96357.77,ensemble,UP,0.57,UP,0.8562469,XGBoost,UP,0.8562468886375427,True,0.34659647941589355,,,,
1746265717,2025-05-03 15:18:36,"[96340.87, 96341.05, 96344.36, 96357.77, 96357.76]",96357.76,ensemble,UP,0.63,UP,0.8550926,XGBoost,UP,0.8550925850868225,True,0.3681068420410156,,,,
1746265722,2025-05-03 15:18:41,"[96341.05, 96344.36, 96357.77, 96357.76, 96357.76]",96357.76,ensemble,UP,0.65,UP,0.92491305,XGBoost,UP,0.9249130487442017,True,0.3587970733642578,,,,
