timestamp,window_start_price,window_end_price,next_price,actual_direction,price_change,percent_change,rf_prediction,rf_confidence,rf_correct,xgb_prediction,xgb_confidence,xgb_correct,ensemble_prediction,ensemble_confidence,ensemble_correct
2025-05-03 07:15:00,96337.81,96246.74,96212.0,DOWN,-34.74000000000524,-0.03609472902667169,UP,0.54,False,UP,0.91363996,False,UP,0.9136399626731873,False
2025-05-03 07:30:00,96196.01,96212.0,96347.05,UP,135.0500000000029,0.14036710597430976,UP,0.6166666666666667,True,UP,0.27736104,True,UP,0.6166666666666667,True
2025-05-03 07:45:00,96320.0,96347.05,96322.68,DOWN,-24.370000000009895,-0.02529397630753603,UP,0.52,False,UP,0.6710703,False,UP,0.6710702776908875,False
2025-05-03 08:00:00,96183.5,96322.68,96160.01,DOWN,-162.66999999999825,-0.16888026786629926,UP,0.58,False,UP,0.53448033,False,UP,0.58,False
2025-05-03 08:15:00,96246.74,96160.01,96353.38,UP,193.3700000000099,0.20109190920426268,UP,0.6966666666666665,True,UP,0.898505,True,UP,0.8985049724578857,True
2025-05-03 08:30:00,96212.0,96353.38,96362.02,UP,8.639999999999418,0.008966992128350264,UP,0.61,True,UP,0.051951155,True,UP,0.61,True
2025-05-03 08:45:00,96347.05,96362.02,96281.0,DOWN,-81.02000000000407,-0.08407876879293737,UP,0.52,False,UP,0.46442348,False,UP,0.52,False
2025-05-03 09:00:00,96322.68,96281.0,96232.97,DOWN,-48.029999999998836,-0.04988523176950679,UP,0.65,False,UP,0.89542747,False,UP,0.8954274654388428,False
2025-05-03 09:15:00,96160.01,96232.97,96325.4,UP,92.42999999999302,0.09604816311913995,UP,0.62,True,UP,0.29826298,True,UP,0.62,True
2025-05-03 09:30:00,96353.38,96325.4,96255.64,DOWN,-69.75999999999476,-0.07242118901140797,UP,0.52,False,UP,0.83892304,False,UP,0.8389230370521545,False
2025-05-03 09:45:00,96362.02,96255.64,96255.65,UP,0.00999999999476131,1.0389001615657339e-05,UP,0.51,True,UP,0.22817177,True,UP,0.51,True
